#datatype,measurement,time,double
#group,false,false,false
#default,,,
,_measurement,UNIX,TA
,ExposedTemp,1692106080000000000,70
,ExposedTemp,1692106200000000000,70.2
,ExposedTemp,1692106320000000000,70.1
,ExposedTemp,1692106440000000000,70.3
,ExposedTemp,1692106560000000000,70.8
,ExposedTemp,1692106680000000000,70.9
,ExposedTemp,1692106800000000000,70.8
,ExposedTemp,1692106920000000000,71.1
,ExposedTemp,1692107040000000000,71.4
,ExposedTemp,1692107160000000000,71.8
,ExposedTemp,1692107280000000000,71.7
,ExposedTemp,1692107400000000000,71.6
,ExposedTemp,1692107520000000000,71.4
,ExposedTemp,1692107640000000000,71.2
,ExposedTemp,1692107760000000000,71.4
,ExposedTemp,1692107880000000000,71.8
,ExposedTemp,1692108000000000000,72.2
,ExposedTemp,1692108120000000000,72.2
,ExposedTemp,1692108240000000000,72.3
,ExposedTemp,1692108360000000000,72.7
,ExposedTemp,1692108480000000000,72.8
,ExposedTemp,1692108600000000000,72.8
,ExposedTemp,1692108720000000000,72.8
,ExposedTemp,1692108840000000000,72.4
,ExposedTemp,1692108960000000000,72.3
,ExposedTemp,1692109080000000000,72.7
,ExposedTemp,1692109200000000000,73
,ExposedTemp,1692109320000000000,72.9
,ExposedTemp,1692109440000000000,72.5
,ExposedTemp,1692109560000000000,71.9
,ExposedTemp,1692109680000000000,71.7
,ExposedTemp,1692109800000000000,71.9
,ExposedTemp,1692109920000000000,72
,ExposedTemp,1692110040000000000,72.2
,ExposedTemp,1692110160000000000,72.2
,ExposedTemp,1692110280000000000,72.1
,ExposedTemp,1692110400000000000,72.4
,ExposedTemp,1692110520000000000,72.7
,ExposedTemp,1692110640000000000,72.7
,ExposedTemp,1692110760000000000,73
,ExposedTemp,1692110880000000000,73.2
,ExposedTemp,1692111000000000000,73.4
,ExposedTemp,1692111120000000000,73.6
,ExposedTemp,1692111240000000000,73.6
,ExposedTemp,1692111360000000000,74
,ExposedTemp,1692111480000000000,74.3
,ExposedTemp,1692111600000000000,74.8
,ExposedTemp,1692111720000000000,74.3
,ExposedTemp,1692111840000000000,73.4
,ExposedTemp,1692111960000000000,73.2
,ExposedTemp,1692112080000000000,73.3
,ExposedTemp,1692112200000000000,73.5
,ExposedTemp,1692112320000000000,73.7
,ExposedTemp,1692112440000000000,73.5
,ExposedTemp,1692112560000000000,73.3
,ExposedTemp,1692112680000000000,73.4
,ExposedTemp,1692112800000000000,73.2
,ExposedTemp,1692112920000000000,73.4
,ExposedTemp,1692113040000000000,73.8
,ExposedTemp,1692113160000000000,73.9
,ExposedTemp,1692113280000000000,74
,ExposedTemp,1692113400000000000,73.6
,ExposedTemp,1692113520000000000,73.4
,ExposedTemp,1692113640000000000,73.5
,ExposedTemp,1692113760000000000,73.6
,ExposedTemp,1692113880000000000,74.1
,ExposedTemp,1692114000000000000,75
,ExposedTemp,1692114120000000000,75.5
,ExposedTemp,1692114240000000000,75.1
,ExposedTemp,1692114360000000000,74.6
,ExposedTemp,1692114480000000000,75.1
,ExposedTemp,1692114600000000000,75.8
,ExposedTemp,1692114720000000000,76.5
,ExposedTemp,1692114840000000000,76.6
,ExposedTemp,1692114960000000000,76.7
,ExposedTemp,1692115080000000000,76.9
,ExposedTemp,1692115200000000000,77
,ExposedTemp,1692115320000000000,76.5
,ExposedTemp,1692115440000000000,76.1
,ExposedTemp,1692115560000000000,76.1
,ExposedTemp,1692115680000000000,76.5
,ExposedTemp,1692115800000000000,77
,ExposedTemp,1692115920000000000,76.8
,ExposedTemp,1692116040000000000,76.8
,ExposedTemp,1692116160000000000,76.6
,ExposedTemp,1692116280000000000,76.4
,ExposedTemp,1692116400000000000,76.6
,ExposedTemp,1692116520000000000,77
,ExposedTemp,1692116640000000000,76.8
,ExposedTemp,1692116760000000000,76.9
,ExposedTemp,1692116880000000000,76.7
,ExposedTemp,1692117000000000000,76.7
,ExposedTemp,1692117120000000000,76.2
,ExposedTemp,1692117240000000000,75.5
,ExposedTemp,1692117360000000000,74.9
,ExposedTemp,1692117480000000000,74.5
,ExposedTemp,1692117600000000000,74.4
,ExposedTemp,1692117720000000000,74.6
,ExposedTemp,1692117840000000000,74.7
,ExposedTemp,1692117960000000000,75.1
,ExposedTemp,1692118080000000000,75.1
,ExposedTemp,1692118200000000000,75.7
,ExposedTemp,1692118320000000000,76.1
,ExposedTemp,1692118440000000000,75.7
,ExposedTemp,1692118560000000000,75.4
,ExposedTemp,1692118680000000000,75.4
,ExposedTemp,1692118800000000000,75.5
,ExposedTemp,1692118920000000000,74.8
,ExposedTemp,1692119040000000000,74.2
